Question Id,Answers,Correct Marks,My answer,Subjects,Score
640653454680,['6406531512129'],0.0,6406531512129,Java,0.0
640653454681,['6406531512132'],4.0,6406531512132,Java,4.0
640653454682,['6406531512136'],5.0,6406531512136,Java,5.0
640653454683,"['6406531512139', '6406531512141']",5.0,"6406531512139,6406531512141",Java,5.0
640653454684,['6406531512146'],4.0,6406531512143,Java,0.0
640653454685,['6406531512147'],4.0,6406531512148,Java,0.0
640653454686,['6406531512152'],5.0,6406531512152,Java,5.0
640653454687,"['6406531512156', '6406531512158']",5.0,6406531512156,Java,2.5
640653454688,['6406531512162'],4.0,6406531512160,Java,0.0
640653454689,['6406531512163'],4.0,6406531512163,Java,4.0
640653454690,['6406531512168'],5.0,6406531512168,Java,5.0
640653454691,['6406531512173'],4.0,6406531512173,Java,4.0
640653454692,['6406531512176'],4.0,6406531512175,Java,0.0
640653454693,['6406531512181'],4.0,6406531512181,Java,4.0
640653454694,['6406531512186'],5.0,6406531512186,Java,5.0
640653454695,['6406531512187'],4.0,6406531512190,Java,0.0
640653454696,['6406531512194'],4.0,6406531512194,Java,4.0
640653454697,['6406531512198'],4.0,6406531512197,Java,0.0
640653454698,['6406531512202'],4.0,6406531512201,Java,0.0
640653454699,['6406531512207'],4.0,6406531512204,Java,0.0
640653454700,['6406531512210'],4.0,6406531512209,Java,0.0
640653454701,['6406531512213'],4.0,6406531512213,Java,4.0
640653454702,['6406531512219'],5.0,6406531512219,Java,5.0
640653454703,['6406531512223'],5.0,6406531512223,Java,5.0
